StudentID,SpendHours,CountryLive,Gender,AgeRange,EducationLevel,InitialExpectID,InitialExpectValue,EndExpectID,EndExpectValue
86ebd831a5613240126778dc2c5ebeab312bc0f5,3 a 4 horass,N/C,N/C,N/C,N/C,3,Buena,4,Muy buena
9e86c5407f5bbaafe19e4bd3b196530bc0379b81,3 a 4 horass,N/C,N/C,N/C,N/C,1,Poca,5,Excelente
16a6850b210f08f64a7a0fd953662f63b0765d2e,1 a 2 horas,N/C,N/C,N/C,N/C,3,Buena,4,Muy buena
082e523cba70f5823ef737ffd38971c2909eaf79,5 a 6 horas,N/C,N/C,N/C,N/C,3,Buena,5,Excelente
2be74f9fc2ef030ec8597298a3fea2a405ba6af1,7 a 8 horas,N/C,N/C,N/C,N/C,1,Poca,4,Muy buena
06d23c53b38edeea9320f5b823ad8a3942a56a1b,1 a 2 horas,N/C,N/C,N/C,N/C,2,Regular,5,Excelente
59f3337e8a591fc8bf1427bd7d26bb23a63927cc,3 a 4 horass,N/C,N/C,N/C,N/C,3,Buena,5,Excelente
e97bfe28523a772d47a224d9c0be7a207b1d9cc2,7 a 8 horas,N/C,N/C,N/C,N/C,2,Regular,5,Excelente
3ae0b9b3017e805a4cca52e264e5b1bc16cc96ad,1 a 2 horas,N/C,N/C,N/C,N/C,2,Regular,4,Muy buena
44975e2958d4a79a6389063e5ceeed79f14822d6,3 a 4 horass,N/C,N/C,N/C,N/C,2,Regular,4,Muy buena
5a0fc3a811030bf9ceb48121b2b4452938d63c6c,1 a 2 horas,N/C,N/C,N/C,N/C,1,Poca,4,Muy buena
6bbc5355f07b8bca857f021190e8eefb2e8cb1b0,3 a 4 horass,N/C,N/C,N/C,N/C,2,Regular,4,Muy buena
95c6d7e7d8798f99a903d8c4dcc2ae4782eeaa18,1 a 2 horas,N/C,N/C,N/C,N/C,2,Regular,4,Muy buena
e0dc97a446a7f65940f1317ada9d4acf16871dec,9 horas o mas,N/C,N/C,N/C,N/C,5,Excelente,5,Excelente
10ee13837e7f4154fc255a927c3ac72007ebc7b2,5 a 6 horas,N/C,N/C,N/C,N/C,3,Buena,4,Muy buena
70ed42251506753955554840d67a6980edc12f89,1 a 2 horas,N/C,N/C,N/C,N/C,2,Regular,5,Excelente
bae9a30fe13133b04f4263dafbf35c2127cc38b2,3 a 4 horass,N/C,N/C,N/C,N/C,2,Regular,4,Muy buena
3ecee64934e71daae2e3835e698a69e32e07b3bd,5 a 6 horas,N/C,N/C,N/C,N/C,1,Poca,4,Muy buena
cdfe26e517aca2ce8991ba4e2eda5fccffcf1c26,9 horas o mas,N/C,N/C,N/C,N/C,3,Buena,5,Excelente
f2b7f5ba35bf5406b5287ede71af02b5988ab755,3 a 4 horass,N/C,N/C,N/C,N/C,3,Buena,4,Muy buena
5b79944dc9d56514dd8674a00d0a1120df563707,3 a 4 horass,N/C,N/C,N/C,N/C,3,Buena,5,Excelente
45d892ed59ffe172cd151c551b58e05310f772f1,1 a 2 horas,N/C,N/C,N/C,N/C,3,Buena,5,Excelente
b749d9dc9e929357625520b205008cdc879fd4ee,5 a 6 horas,N/C,N/C,N/C,N/C,2,Regular,4,Muy buena
bde0a50d8d258d954a60b302f93236a36c1a2909,1 a 2 horas,N/C,N/C,N/C,N/C,2,Regular,4,Muy buena
2a3f32d19e223fe8e181913f015c4efc25f77b60,7 a 8 horas,N/C,N/C,N/C,N/C,2,Regular,5,Excelente
0e67462beceb25c21b86b778b031507cfc251829,5 a 6 horas,N/C,N/C,N/C,N/C,2,Regular,4,Muy buena
06eec7f5c86ce709925480ff4acf35ce8b62ee5f,3 a 4 horass,N/C,N/C,N/C,N/C,2,Regular,4,Muy buena
89fa76fe26563092fb6f339a98d14002ec32953e,1 a 2 horas,N/C,N/C,N/C,N/C,3,Buena,4,Muy buena
